datee;PriceUSD;Percentage
2011-03-13;0.89249;-2.759325026
2011-03-14;0.893924923;0.160777471
2011-03-15;0.87224;-2.4258103
2011-03-16;0.851211666;-2.410842693
2011-03-17;0.82542;-3.029994387
2011-03-18;0.801959208;-2.842285374
2011-03-19;0.765;-4.608614465
2011-03-20;0.7415;-3.071895425
2011-03-21;0.75897;2.356035064
2011-03-22;0.809130293;6.608995456
2011-03-23;0.84971;5.015225304
2011-03-24;0.872374366;2.667306007
2011-03-25;0.88377;1.306277967
2011-03-26;0.8552;-3.23274155
2011-03-27;0.822;-3.882132834
2011-03-28;0.7947405;-3.31624084
2011-03-29;0.792509942;-0.280665039
2011-03-30;0.789706312;-0.353765841
2011-03-31;0.78461;-0.645342708
2011-04-01;0.77411;-1.338244478
2011-04-02;0.78199;1.017943186
2011-04-03;0.779;-0.382357831
2011-04-04;0.68;-12.70860077
2011-04-05;0.715691835;5.248799206
2011-04-06;0.74;3.396456998
2011-04-07;0.7538;1.864864865
2011-04-08;0.74999;-0.505439109
2011-04-09;0.734060517;-2.123959354
2011-04-10;0.733156821;-0.123109287
2011-04-11;0.770113933;5.040819612
2011-04-12;0.861381608;11.85119117
2011-04-13;0.930320058;8.003241535
2011-04-14;0.998629766;7.34260292
2011-04-15;0.983673137;-1.497715166
2011-04-16;1.046632858;6.400471748
2011-04-17;1.098122098;4.919513039
2011-04-18;1.149433312;4.672632826
2011-04-19;1.185162221;3.108393419
2011-04-20;1.142125985;-3.631252782
2011-04-21;1.207338872;5.709780538
2011-04-22;1.404505082;16.33064373
2011-04-23;1.828852301;30.21329183
2011-04-24;1.63198422;-10.76456973
2011-04-25;1.564483635;-4.136105217
2011-04-26;1.77084089;13.1901191
2011-04-27;1.903175959;7.473007266
2011-04-28;2.285744466;20.10158365
2011-04-29;2.85060509;24.71232601
2011-04-30;3.5;22.78094964
2011-05-01;3.094227553;-11.59349847
2011-05-02;3.2;3.418379699
2011-05-03;3.360585704;5.01830324
2011-05-04;3.408673047;1.430921509
2011-05-05;3.343736684;-1.905033485
2011-05-06;3.455075584;3.329774757
2011-05-07;3.641262978;5.388808111
2011-05-08;3.848668377;5.695974184
2011-05-09;3.804089582;-1.158291401
2011-05-10;5.651667002;48.56818906
2011-05-11;5.439751044;-3.749618624
2011-05-12;6.334878694;16.45530546
2011-05-13;8.139034867;28.47972724
2011-05-14;7.007243829;-13.90571556
2011-05-15;6.924924845;-1.174769807
2011-05-16;7.885140745;13.86608407
2011-05-17;7.257199541;-7.963601727
